NH4	NOx	Si	PO4	BCR	GPP	PP	BB	MaB	MeB	Chla	T	granulo	sitesacp	moisacp	
SA1	148	44	125.8	15.7	0	13.8	0.5	16.5	15548	1849	28.96	8.3	64.7	SA	1
SA2	139	8	85	20.2	2.55	7.6	0.2	19.1	11931	2863	30.57	13.7	87.37	SA	2
SA3	105	3	66.7	4.4	6.51	14.1	0.6	29.1	20263	2329	23.43	16.1	161.17	SA	3
SA4	109	2	84	6.6	3.56	9.5	0.4	33.2	18604	716	26.7	19	100.37	SA	4
SA5	139	0	212.3	7.7	3.4	10.2	0.3	35.5	21473	2578	31.67	17.7	141.94	SA	5
SA6	76	13	63	4.7	9.63	22.4	0.8	25.7	24107	1471	28.4	23.3	183.01	SA	6
SA7	44	9	35.9	3	7.42	22.4	0.8	20.4	6731	1451	29.68	18.25	230.58	SA	7
SA8	133	1	136.5	7.8	9.45	24.8	0.4	37	21418	1500	61.63	22.15	87.37	SA	8
SA9	223	2	184.6	10.8	5.98	13.2	0.2	27.6	29290	1729	63.62	14.2	70.15	SA	9
SA10	132	6	93.4	7.2	1.62	7.9	0.2	24.7	20458	1757	37.78	7.3	126.45	SA	10
SA11	55	8	79.6	4	1.44	9.9	0.4	27.9	9854	1899	23.54	10.6	125	SA	11
SB2	81	6	31.7	4.5	0	7.8	0.4	8.4	8570	1265	19.31	16.4	183.01	SB	2
SB3	43	0	17.3	1	0.48	7.6	0.5	14.7	9158	1879	15.27	17.7	222.72	SB	3
SB4	49	0	25.3	2.7	0	14.2	0.7	13.7	1642	685	19.74	19.1	238.71	SB	4
SB5	114	0	88	9	3.03	12.9	0.6	18.9	7945	1256	23.36	19.6	180.91	SB	5
SB6	31	13	41.2	3.8	3.55	17.2	0.9	24.3	4079	1163	18.11	23.1	191.67	SB	6
SB7	25	16	32.3	2.9	5.33	20.8	1.2	27	2537	1211	17.89	22.3	235.97	SB	7
SB8	24	4	28.8	2.7	0.96	26.6	0.7	27.9	792	1604	38.91	19.6	274.21	SB	8
SB9	30	1	28.8	3.8	0.62	21.4	0.6	10.7	6680	1200	35.22	17.15	244.29	SB	9
SB10	70	2	40.2	5.5	0.95	21	0.4	19.9	4192	1774	47.93	10.9	191.67	SB	10
SB11	69	4	20.1	5.75	0	10	0.8	12.6	3697	905	12.92	14.6	189.46	SB	11
SC2	17	8	2	2	0	6.1	0.7	4.2	2475	265	8.69	9.2	238.71	SC	2
SC3	7	0	20.3	0	0	5.4	0.5	3.2	2515	274	12	15.4	238.71	SC	3
SC4	6	0	4	0	0	3.6	0.3	10.2	1041	266	10.44	18.1	247.13	SC	4
SC5	9	0	4.7	0	0	6.2	0.6	11.2	1831	274	9.59	14.8	258.82	SC	5
SC6	9	0	8	0.5	1.18	5	0.6	7.5	1207	508	9.02	19.45	250	SC	6
SC7	10	8	19.8	2.9	2.01	9.6	0.6	22	1583	564	15.91	22.3	252.9	SC	7
SC8	20	5	9.9	2.4	0	10.7	0.7	12.2	1176	638	16.12	16.7	258.82	SC	8
SC9	23	4	8.8	2.9	0	9.2	0.5	5.9	1234	671	18.82	15.3	258.82	SC	9
SC10	17	3	3.9	1.7	0	4.3	0.2	6.1	800	253	18.04	11.9	267.94	SC	10
SC11	0	4	8.5	0.9	0	5.8	0.5	7.9	78	218	11.61	14	244.29	SC	11
