Hydrobia.ulvae	Corophium.arenarium	Abra.tenuis	Tubificidae	Enchytraeidae	Cerastodermaedule	Larve.de.Diptere	Apseudes.latreilli	Notomastus.latericeus	Scoloplos.armiger	Heteroclymene.robusta	Bathyporea.sarsi	Retusa.obtusata	Cereus.pedonculatus	Eteone.longa	Fabricia.sabella	Pygospio.elegans	Urothoe.poseidonis	Carcinus.maenas	Nepthys.umbergii	Pleuronectes.platesa	Arenicola.marina	Planaire	Telina.fabula	Cumopsis.sp	Leucothoe.incisa	Lucinoma.borealis	Orbinia.foetida	Nereis.diversicolor	Loripes.lucinalis	Venerupis.pullastra	Venus.ovata	Ampelisca.brevicornis	Sphaeroma.serratum	Dicentrachus.labrax	sitesafc	moisafc
SA1	896	340	38	0	0	8	6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	1
SA2	1239	269	192	0	0	9	10	0	0	4	0	0	4	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	2
SA3	559	232	95	12	0	14	1	0	0	21	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	SA	3
SA4	856	140	220	2	1	5	14	0	0	15	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	4
SA5	1407	177	41	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	5
SA6	1372	115	14	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	6
SA7	590	562	25	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	7
SA8	444	457	26	110	0	4	3	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	8
SA9	883	67	431	6	21	8	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	9
SA10	1124	16	612	32	15	11	20	0	0	0	0	0	0	0	0	42	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	10
SA11	1026	116	52	34	0	10	15	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	11
SA12	964	186	59	10	4	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	12
SA13	1345	223	93	2	0	5	3	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	1
SA14	909	18	409	18	5	4	14	0	1	59	0	0	1	0	0	121	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	SA	2
SA15	1142	187	129	0	0	12	15	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	3
SA16	760	120	181	45	0	9	13	0	0	20	0	0	1	0	0	11	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	4
SB1	2	3	33	10	0	12	15	0	1	36	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	1
SB2	5	10	126	11	0	10	0	1	3	102	0	0	0	0	0	0	12	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	2
SB3	0	0	8	0	0	3	0	6	52	13	20	2	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	SB	3
SB4	0	8	113	1	0	10	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	4
SB5	38	14	302	7	0	6	0	0	4	142	0	0	0	0	0	122	38	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	SB	5
SB6	2	3	15	6	0	3	0	0	1	41	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	6
SB7	7	2	97	8	0	23	0	0	5	53	14	17	1	0	0	14	23	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	7
SB8	0	0	162	7	0	29	0	0	5	94	17	0	10	0	0	69	2	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	1	0	SB	8
SB9	13	0	418	20	3	14	1	0	3	46	0	0	4	0	0	691	38	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	SB	9
SB10	7	0	199	9	0	25	0	0	12	68	20	0	4	0	0	63	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	SB	10
SB11	6	0	58	0	0	1	0	0	9	66	51	1	0	0	0	10	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	11
