Hydrobia.ulvae	Corophium.arenarium	Abra.tenuis	Tubificidae	Enchytraeidae	Cerastodermaedule	Larve.de.Diptere	Apseudes.latreilli	Notomastus.latericeus	Scoloplos.armiger	Heteroclymene.robusta	Bathyporea.sarsi	Retusa.obtusata	Cereus.pedonculatus	Eteone.longa	Fabricia.sabella	Pygospio.elegans	Urothoe.poseidonis	Carcinus.maenas	Nepthys.umbergii	Pleuronectes.platesa	Arenicola.marina	Planaire	Telina.fabula	Cumopsis.sp	Leucothoe.incisa	Lucinoma.borealis	Orbinia.foetida	Nereis.diversicolor	Loripes.lucinalis	Venerupis.pullastra	Venus.ovata	Ampelisca.brevicornis	Sphaeroma.serratum	Dicentrachus.labrax	sitesafc	moisafc	
SA1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	1
SA2	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	2
SA3	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	SA	3
SA4	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	4
SA5	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	5
SA6	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	6
SA7	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	7
SA8	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	8
SA9	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	9
SA10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	10
SA11	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	11
SA12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	12
SA13	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	1
SA14	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	SA	2
